INFO: text_id: D2654   uid: 56f6091ada5f4e68a7453c5a62c3eb0f
INFO: text_id: D2655   uid: 2d15f7fc4cb44d54899b3b81130abe64
INFO: text_id: D2659   uid: 2b7be2a6e1fc4d868c1eed9b70390aad
INFO: text_id: D2675   uid: 61ef36af38234b95b5021cee57696a9b
INFO: text_id: D2678   uid: bed568284f8241fcaa1adb371752e905
INFO: text_id: D2694   uid: 112b654b11af40c8a5b90c9b72f44f3d
INFO: text_id: D2701   uid: ed283db43f3043cdbd94b9ec1fbf253b
INFO: text_id: D2702   uid: 4c91a1061f0142679c4ccd915a954aef
INFO: text_id: D2712   uid: b508d69d81344fac9304d293ab904480
INFO: text_id: D2732   uid: a870b967ea70447a940ac3708a740779
INFO: text_id: D2736   uid: 56a9fa683829431cab454cc634a638eb
INFO: text_id: D2736a   uid: 57b8868cdf9347be9b874f8bbe84c6d3
INFO: text_id: D2850   uid: 57cc46535fcc45d5a1a7b76867a216ce
INFO: text_id: D2866   uid: 5ba5835a417d4e5297318e17feca81a5
INFO: text_id: D2867   uid: 1afeba665a5341e4bc5e5c68c60d7b0c
INFO: text_id: D2868   uid: 15e797e47ea14241a8c908b7fb2707e2
INFO: text_id: D2869   uid: f357560262dd448dbe9f3b1d7c446f0d
INFO: text_id: D2888   uid: c26e912ba6b142deb83f5cb8217bd3e0
INFO: text_id: D2889   uid: 895d666e6ccd4b20be3cc3902e1843a3
INFO: text_id: D3052   uid: 9f656d5625c74cdd8c3b0c160a89f793
INFO: text_id: D3053   uid: 23dca93fb29a4a6e9c673a6997ae0bba
INFO: text_id: D3057   uid: 5e49dc3ffaf247dfaf96665958092e61
INFO: text_id: D3058   uid: b9a532bbec62429b83a8effa3738d98e
INFO: text_id: D3060   uid: 41e0a334a08c480aa18cd560858e811f
INFO: text_id: D3067   uid: 87245b99589a4ce799dff4cbe5547140
INFO: text_id: D3079   uid: a2ae2dc07597413bb68a14ad181390a8
INFO: text_id: D3080   uid: d11d3e8447b34cf39a4c05b70994785a
INFO: text_id: D3082   uid: 274dd8fd9bf845b0bd5cca1ef9a131c7
INFO: text_id: D3117   uid: 7165ee269c6c4b40a298a697cbbbf5ad
INFO: text_id: D3132   uid: 34242323c74e4e369e1f635079793f9f
INFO: text_id: D3133   uid: f3c008f3841042e6b43c986a4d1efecd
INFO: text_id: D3193   uid: e7c9f9ee534c4b65997dd55dc5b5e651
INFO: text_id: D3194   uid: 93b0ee1ef9ca40e9a92213cdaaa0d63e
INFO: text_id: D3195   uid: 381bd33fd9a24207bd4afbc503751ccb
INFO: text_id: D3196   uid: ac3ad46adb3b4f118d1de35e8eab397b
INFO: text_id: D3368   uid: d528262271944ec882371d248951857a
INFO: text_id: D3488   uid: d754187afbc549528371f09393fb7b0d
INFO: text_id: D3518   uid: cf40bf239dea4822b0179686e363048b
INFO: text_id: D3550   uid: 20d4bffd867e401c96808c38dde06e02
INFO: text_id: D3562   uid: 22b4c47355fe4cb7a6ef12ddad002ed3
INFO: text_id: D3645   uid: 32d76306ca584e87b9aaa2a179fd3306
INFO: text_id: D3664   uid: 70d6d7a2b45b47439231a49603719a8f
INFO: text_id: D3686   uid: 42a0b68c4da14f9d919de5c47abcf0f5
INFO: text_id: D3687   uid: 4332c54c4819416da1fd10952c011870
INFO: text_id: D3688   uid: c56ca7e49ccf4fb3a70308f0c99557cd
INFO: text_id: D3690   uid: d03c00fc28f547ba9a1d42da0a66dc5f
INFO: text_id: D3708   uid: 3bffba667b3b4cb1b996fcb4fe4ddc7a
INFO: text_id: D3725   uid: 00dc32bb836a4fde8d75653338e3a9d2
INFO: text_id: D3729   uid: da130f1fe3ec4f4f91c76a6d79feb90c
INFO: text_id: D3739   uid: 6e0f9412acb543c79582394aaee19877
INFO: text_id: D3769   uid: 649540e9f7d94c43bb150c8b90be33d9
INFO: text_id: D3778   uid: 7194764a4cad40e781668e53cad51054
INFO: text_id: D3780   uid: a45f791dfa0c4206bda1978ac44cbcf5
INFO: text_id: D3788   uid: d21679c4e24644f3b53111b2f77a465c
INFO: text_id: D3790   uid: 18478b2d6a9041429013b0ea7a2a85f2
INFO: text_id: D3792   uid: d3f4b194625f40b1b1a76c3b9281969e
INFO: text_id: D3793   uid: 51374882a9ae4c998d859b254e4daba4
INFO: text_id: D3804   uid: 2b18b5fc6acc42e6884c01db96d95315
INFO: text_id: D3809   uid: 4de4a1be1a37408a83904dcbd911055a
INFO: text_id: D3815   uid: b50b3be5b9a3465288239a063453dd40
INFO: text_id: D3816   uid: 73abc52605c44f0e874e3eaee6d9241c
INFO: text_id: D3817   uid: 76555e44120f4a09877009939151bf3e
INFO: text_id: D3824   uid: d83778aedfb248a69e9fa603577944a4
INFO: text_id: D3825   uid: a577cc428edb4391bad28479dcc5b091
INFO: text_id: D3826   uid: 291820ca188340f08d944ad2d9903bbd
INFO: text_id: D3827   uid: 0ebd84d355e74bba9f7c37552fef9699
INFO: text_id: D3828   uid: 1d2980dfd07d4b2bbd5ce5ca4820a794
INFO: text_id: D3829   uid: 6ae92433584d4206b671b1a696552ea4
INFO: text_id: D3830   uid: e83dfedd8e844eb78dc3b46c870465df
INFO: text_id: D3831   uid: 9fbd5e80daa5492c908b26901bb12c76
INFO: text_id: D3832   uid: 54295e971c2e45c4943f078f46333cc3
INFO: text_id: D3833   uid: 44e09fd479db45c080bab7d06e729c43
INFO: text_id: D3834   uid: 848ede44390c4663bd5fa09f84266644
INFO: text_id: D3835   uid: 2abba2d1479948958beee8da693946b7
INFO: text_id: D3836   uid: 22c045c35bbc46f18e9db2d85e2063b7
INFO: text_id: D3837   uid: 66153dbb616c4e94b78a25ea5b9578e5
INFO: text_id: D3838   uid: 2a73f192c5fd47ef9ef3f16f4d9a0483
INFO: text_id: D3839   uid: aafd6770560645078aa38d00d469ff6e
INFO: text_id: D3840   uid: 70c27dedb52f4600ba9e1521f484592e
INFO: text_id: D3842   uid: 18d2e96961204756b8ce2b8c93182793
INFO: text_id: D3843   uid: ca917e5f1e33444b905f0aa1f455f88e
INFO: text_id: D3844   uid: 6804d310b73b406995483d17a1be859d
INFO: text_id: D3845   uid: 00d02ee558b54424a2119b059491c8c7
INFO: text_id: D3846   uid: 55f3ce5f043b44c08c390336d1a2403c
INFO: text_id: D3847   uid: 7d1b114c6d264acda2424d32b57ed8b1
INFO: text_id: D3848   uid: 0e6894da98a74c92826df6eb7cefbfa1
INFO: text_id: D3849   uid: 80192b96d64344b196960a2b479dbb6c
INFO: text_id: D3850   uid: b451f4d6201443c8a027aeb1b045c169
INFO: text_id: D3851   uid: ccad479797ce48a997917e63aee58b5d
INFO: text_id: D3854   uid: ee5f7ddb0e2c4d37b307a4a5efef6adf
INFO: text_id: D3855   uid: f877f453083b46a888cc2529db467079
INFO: text_id: D3856   uid: 0568c27803264ac7ac0dd531c06819e2
INFO: text_id: D3857   uid: 615025b1ca494863bcf466ebbde0b1c2
INFO: text_id: D3860   uid: 3c1ef4d8a2964e4d905c7c9d130a0fe0
INFO: text_id: D3861   uid: 2aabce476fa94240a4c1e50490ed1cf2
INFO: text_id: D3862   uid: 3e2cb19d57a640bcafb0c3fce319f700
INFO: text_id: D3863   uid: c5c8e1c841d64427a2fa12c24569a9d6
INFO: text_id: D3864   uid: 9c76adc1b112425d9ddb6d2736dbee61
